42756,Brooks,31,450411
93875,Di,52,1.00072e+06
130795,Dyann,28,739668
133421,Corry,21,48488
157774,Oona,68,1.20845e+06
173849,Willetta,41,843275
288955,Florie,18,1.03951e+06
289265,Elsie,24,612208
327450,Mariele,40,622485
353458,Gretal,52,895030
369947,Feliza,28,1.05515e+06
386233,Kirbee,65,936072
486177,Annabela,71,877902
584563,Florencia,64,627982
652329,Bill,36,759781
670848,Alejandra,59,213066
711760,Leeanne,30,561917
754994,Celene,43,588836
846389,Alie,60,1.10587e+06
857080,Jeanna,64,59716
905544,Desirae,43,1.37156e+06
986634,Oralee,18,129144
