44293,Shannah,23,711138
106553,Lizzie,49,281525
118442,Gloria,61,742571
120527,Marline,39,870077
125614,Cissiee,71,139348
193077,Vevay,31,809122
199930,Raquela,33,420379
205260,Robbi,42,1.23423e+06
221111,Wynne,22,639363
259068,Margalo,31,1.14873e+06
332397,Alisha,43,298193
361200,Caressa,64,202165
369200,Hyacinthe,20,46985
394677,Demetris,25,966990
396499,Jessy,44,1.00372e+06
431575,Eve,70,1.3171e+06
529792,Fayre,24,1.34222e+06
549012,Marline,47,610224
790871,Ariela,35,344416
904669,Roseline,46,874773
959999,Magdalena,56,760014
969016,Queenie,53,646797
