38545,Sindee,69,480818
89669,Chickie,26,302450
103742,Elsie,27,364160
221247,Romona,49,1.38215e+06
280560,Jorry,31,1.11385e+06
283884,Kary,66,858840
294215,Babita,42,517146
342106,Katharina,50,1.08043e+06
342284,Gertrud,56,583781
370449,Collen,56,594204
373134,Heida,54,778737
474942,Jenilee,61,1.2448e+06
571997,Caritta,55,493550
574313,Bettine,37,567843
620697,Annabela,36,570401
643903,Lizzie,37,451979
653474,Mady,59,562517
725650,Dotty,48,1.27148e+06
781180,Claresta,26,651378
837934,Susette,28,875703
907216,Isa,51,578196
973416,Marleah,30,1.09002e+06
