36428,Marcelline,46,1.21973e+06
56073,Cherilyn,54,401676
111365,Dede,46,1.12715e+06
310515,Leia,51,1.10009e+06
329931,Bee,44,937401
348234,Dari,31,287343
377872,Shandie,68,1.23481e+06
388595,Annora,63,1.20427e+06
407432,Nanete,65,636255
569816,Dominga,51,41191
664836,Eugine,60,41752
728760,Deirdre,51,771611
734051,Hope,49,614363
747877,Celisse,57,269482
762639,Chastity,38,751554
767705,Kore,30,632506
794884,Kara-Lynn,46,640110
822192,Robbi,28,1.02653e+06
925097,Ilse,57,164453
925780,Marline,29,1.31031e+06
941158,Carol-Jean,32,931827
943743,Gilda,52,1.21484e+06
