13075,Fayre,35,720375
31956,Kial,60,1.11279e+06
265405,Fina,19,1.2669e+06
339400,Sam,59,926241
378765,Doro,72,785668
380336,Reeba,48,693268
425437,Kirstin,50,167439
438311,Marleah,39,1.26236e+06
444201,Zondra,47,1.22962e+06
459422,Madeleine,64,139047
509352,Ardenia,26,1.11354e+06
524465,Asia,54,637504
534379,Celestyna,44,55956
641239,Margalo,59,1.04597e+06
715124,Edith,21,832552
754186,Katuscha,34,238843
762973,Peri,30,342712
818919,Daune,57,1.10856e+06
904913,Trixi,59,453410
922639,Marjie,21,997663
925313,Zondra,34,1.01276e+06
984194,Suzette,39,632245
