118345,Jordan,32,935851
225780,Aaren,19,168194
263804,Jenda,56,1.05493e+06
323391,Jobi,36,54806
326160,Tierney,28,763891
333332,Roz,58,1.09007e+06
347659,Brandise,39,1.33657e+06
400188,Amelia,25,884023
447969,Edith,24,609416
456593,Quintina,53,949646
486512,Joeann,49,873447
488017,Yolane,24,734979
542925,Annabela,35,583620
588852,Renae,24,285781
599911,Aeriela,68,1.1693e+06
618905,Atlanta,60,1.2373e+06
640211,Christian,37,1.20038e+06
693300,Roz,43,251467
778891,Ulrike,71,917192
834204,Riannon,66,91828
861594,Robinia,57,191420
984090,Mignon,44,1.21631e+06
