108591,Lila,23,164532
151315,Ira,60,868202
170661,Dulce,63,119060
181570,Vinita,35,1.24475e+06
214243,Sherrie,63,557227
224045,Kayla,66,1.30766e+06
233891,Genevra,72,1.02512e+06
270392,Fina,43,939405
276850,Deedee,63,472688
285847,Brietta,31,825252
285907,Linzy,24,282955
304875,Sheelagh,55,1.14594e+06
355211,Cassandra,66,1.32643e+06
404028,Corina,31,618593
551953,Meghann,37,982271
602699,Carol-Jean,63,974991
664728,Merci,43,974276
706098,Rosene,53,1.12048e+06
775695,Ilse,53,284989
828512,Neila,32,49183
889481,Tobe,42,463236
899718,Brandise,69,534917
