45182,Sharai,70,623909
124103,Kenna,57,1.00615e+06
167134,Ebonee,46,1.11594e+06
188156,Leia,62,890655
209124,Meriel,42,1.32461e+06
333254,Nonnah,37,611250
346103,Roxane,69,79905
357214,Dania,34,1.1339e+06
388818,Cassondra,44,444360
407580,Charlena,55,525630
423003,Adriana,44,411090
424158,Esmeralda,19,477858
427296,Marylou,46,325492
465152,Meg,26,1.07157e+06
548924,Brietta,67,144037
621552,Joy,30,901692
625671,Cissiee,46,519557
741954,Jan,24,83873
794689,Marguerite,20,714230
805865,Petronia,34,653634
870680,Tobe,33,477280
898494,Orsola,67,561422
